PERIODO,MES,AGENCIA,SERVICIO HOSPEDAJE,VENTAS HOSPEDAJE EN MILES DE PESOS,SERVICIOS AEREOS,VENTAS AEREOS EN MILES DE PESOS,SERVICIOS TERRESTRE,VENTAS TERRESTRE EN MILES DE PESOS,SERVICIOS EXCURSIONES,VENTAS EXCURSIONES EN MILES DE PESOS,SERVICIOS PAQUETES PROPIOS,VENTAS PAQUETES PROPIOS EN MILES DE PESOS,SERVICIOS PAQUETES NO PROPIOS,VENTAS PAQUETES NO PROPIOS EN MILES DE PESOS,SERVICIOS TURISMO DE NEGOCIOS,VENTAS TURISMO DE NEGOCIOS EN MILES DE PESOS,SERVICIOS BALNEARIO Y O PARQUES RECREATIVOS,VENTAS BALNEARIO Y O PARQUES RECREATIVOS EN MILES DE PESOS
2013,ENERO JUNIO,REFORMA,3586,6691.39,3134,41658.45,301,275798.23,15,430.38,0,0,2023,24115.35,128,2950.11,675,141.97
2013,ENERO JUNIO,ASOCIACION AUTONOMA DEL PERSONAL ACADEMICO DE LA UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,284,479.13,12,58.12,7,2.03,0,0,0,0,75,1299.24,0,0,0,0
2013,ENERO JUNIO,SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,0,0,801,7164.34,0,0,0,0,0,0,111,1979.88,0,0,0,0
2013,ENERO JUNIO,SAN FERNANDO,308,549.19,545,9486.2,16,2.25,0,0,0,0,121,2467.82,0,0,0,0
2013,ENERO JUNIO,CONSEJO DE LA  JUDICATURA,95,192.57,732,4566.14,0,0,0,0,0,0,89,642.25,0,0,8,1.68
2013,ENERO JUNIO,AGUASCALIENTES AGUASCALIENTES,275,1096.41,81,1381.35,1998,2297.56,0,0,0,0,879,6295.99,0,0,0,0
2013,ENERO JUNIO,MEXICALI BAJA CALIFORNIA,4,3.8,708,5017.15,1944,1173.14,0,0,0,0,127,965.22,0,0,0,0
2013,ENERO JUNIO,LA PAZ BAJA CALIFORMIA SUR,0,0,2708,10904.38,15285,4159.47,0,0,0,0,48,419.84,0,0,0,0
2013,ENERO JUNIO,CAMPECHE CAMPECHE,96,85.68,166,3381,0,0,0,0,0,0,6,21.97,0,0,0,0
2013,ENERO JUNIO,SALTILLO COAHUILA,212,626.32,1129,4627.84,8009,6253.45,0,0,0,0,3603,922.09,636,0,0,0
